any;municipi;sexe;concepte;estat;valor
1998;Anglès;dones;població;;2358
1998;Anglès;total;població;;4752
1998;Anglesola;homes;població;;629
1998;Anglesola;dones;població;;613
1998;Anglesola;total;població;;1242
1998;Arbeca;homes;població;;1198
1998;Arbeca;dones;població;;1161
1998;Arbeca;total;població;;2359
1998;Arboç, l';homes;població;;1772
1998;Arboç, l';dones;població;;1655
1998;Arboç, l';total;població;;3427
1998;Arbolí;homes;població;;65
1998;Arbolí;dones;població;;66
1998;Arbolí;total;població;;131
1998;Arbúcies;homes;població;;2401
1998;Arbúcies;dones;població;;2413
1998;Arbúcies;total;població;;4814
1998;Arenys de Mar;homes;població;;5904
1998;Arenys de Mar;dones;població;;6334
1998;Arenys de Mar;total;població;;12238
1998;Arenys de Munt;homes;població;;2837
1998;Arenys de Munt;dones;població;;2922
1998;Arenys de Munt;total;població;;5759
1998;Argelaguer;homes;població;;201
1998;Argelaguer;dones;població;;164
1998;Argelaguer;total;població;;365
1998;Argençola;homes;població;;79
1998;Argençola;dones;població;;84
1998;Argençola;total;població;;163
1998;Argentera, l';homes;població;;77
1998;Argentera, l';dones;població;;62
1998;Argentera, l';total;població;;139
1998;Argentona;homes;població;;4476
1998;Argentona;dones;població;;4483
1998;Argentona;total;població;;8959
1998;Armentera, l';homes;població;;374
1998;Armentera, l';dones;població;;375
1998;Armentera, l';total;població;;749
1998;Arnes;homes;població;;266
1998;Arnes;dones;població;;245
1998;Arnes;total;població;;511
1998;Arres;homes;població;;34
1998;Arres;dones;població;;30
1998;Arres;total;població;;64
1998;Arsèguel;homes;població;;54
1998;Arsèguel;dones;població;;50
1998;Arsèguel;total;població;;104
1998;Artés;homes;població;;2123
1998;Artés;dones;població;;2148
1998;Artés;total;població;;4271
1998;Artesa de Lleida;homes;població;;624
1998;Artesa de Lleida;dones;població;;619
1998;Artesa de Lleida;total;població;;1243
1998;Artesa de Segre;homes;població;;1601
1998;Artesa de Segre;dones;població;;1522
1998;Artesa de Segre;total;població;;3123
1998;Ascó;homes;població;;863
1998;Ascó;dones;població;;848
1998;Ascó;total;població;;1711
1998;Aspa;homes;població;;124
1998;Aspa;dones;població;;124
1998;Aspa;total;població;;248
1998;Avellanes i Santa Linya, les;homes;població;;256
1998;Avellanes i Santa Linya, les;dones;població;;227
1998;Avellanes i Santa Linya, les;total;població;;483
1998;Avià;homes;població;;919
1998;Avià;dones;població;;894
1998;Avià;total;població;;1813
1998;Avinyó;homes;població;;990
1998;Avinyó;dones;població;;1010
1998;Avinyó;total;població;;2000
1998;Avinyonet de Puigventós;homes;població;;271
1998;Avinyonet de Puigventós;dones;població;;266
1998;Avinyonet de Puigventós;total;població;;537
1998;Avinyonet del Penedès;homes;població;;622
1998;Avinyonet del Penedès;dones;població;;565
1998;Avinyonet del Penedès;total;població;;1187
1998;Badalona;homes;població;;103498
1998;Badalona;dones;població;;106108
1998;Badalona;total;població;;209606
1998;Badia del Vallès;homes;població;;8110
1998;Badia del Vallès;dones;població;;7975
1998;Badia del Vallès;total;població;;16085
1998;Bagà;homes;població;;1014
1998;Bagà;dones;població;;1082
1998;Bagà;total;població;;2096
1998;Baix Pallars;homes;població;;193
1998;Baix Pallars;dones;població;;147
1998;Baix Pallars;total;població;;340
1998;Balaguer;homes;població;;6455
1998;Balaguer;dones;població;;6733
1998;Balaguer;total;població;;13188
1998;Balenyà;homes;població;;1554
1998;Balenyà;dones;població;;1565
1998;Balenyà;total;població;;3119
1998;Balsareny;homes;població;;1613
1998;Balsareny;dones;població;;1655
1998;Balsareny;total;població;;3268
1998;Banyeres del Penedès;homes;població;;826
1998;Banyeres del Penedès;dones;població;;769
1998;Banyeres del Penedès;total;població;;1595
1998;Banyoles;homes;població;;7218
1998;Banyoles;dones;població;;7530
1998;Banyoles;total;població;;14748
1998;Barbens;homes;població;;389
1998;Barbens;dones;població;;365
1998;Barbens;total;població;;754
1998;Barberà de la Conca;homes;població;;198
1998;Barberà de la Conca;dones;població;;196
1998;Barberà de la Conca;total;població;;394
1998;Barberà del Vallès;homes;població;;13109
1998;Barberà del Vallès;dones;població;;13003
1998;Barberà del Vallès;total;població;;26112
1998;Barcelona;homes;població;;703231
1998;Barcelona;dones;població;;802350
1998;Barcelona;total;població;;1505581
1998;Baronia de Rialb, la;homes;població;;130
1998;Baronia de Rialb, la;dones;població;;117
1998;Baronia de Rialb, la;total;població;;247
1998;Bàscara;homes;població;;404
1998;Bàscara;dones;població;;374
1998;Bàscara;total;població;;778
1998;Bassella;homes;població;;168
1998;Bassella;dones;població;;167
1998;Bassella;total;població;;335
1998;Batea;homes;població;;997
1998;Batea;dones;població;;976
1998;Batea;total;població;;1973
1998;Bausen;homes;població;;39
1998;Bausen;dones;població;;28
1998;Bausen;total;població;;67
1998;Begues;homes;població;;1812
1998;Begues;dones;població;;1768
1998;Begues;total;població;;3580
1998;Begur;homes;població;;1601
1998;Begur;dones;població;;1578
1998;Begur;total;població;;3179
1998;Belianes;homes;població;;269
1998;Belianes;dones;població;;289
1998;Belianes;total;població;;558
1998;Bellaguarda;homes;població;;183
1998;Bellaguarda;dones;població;;180
1998;Bellaguarda;total;població;;363
1998;Bellcaire d'Empordà;homes;població;;251
1998;Bellcaire d'Empordà;dones;població;;251
1998;Bellcaire d'Empordà;total;població;;502
1998;Bellcaire d'Urgell;homes;població;;640
1998;Bellcaire d'Urgell;dones;població;;706
1998;Bellcaire d'Urgell;total;població;;1346
1998;Bell-lloc d'Urgell;homes;població;;1041
1998;Bell-lloc d'Urgell;dones;població;;1065
1998;Bell-lloc d'Urgell;total;població;;2106
1998;Bellmunt d'Urgell;homes;població;;117
1998;Bellmunt d'Urgell;dones;població;;116
1998;Bellmunt d'Urgell;total;població;;233
1998;Bellmunt del Priorat;homes;població;;151
1998;Bellmunt del Priorat;dones;població;;156
1998;Bellmunt del Priorat;total;població;;307
1998;Bellprat;homes;població;;50
1998;Bellprat;dones;població;;39
1998;Bellprat;total;població;;89
1998;Bellpuig;homes;població;;1966
1998;Bellpuig;dones;població;;1990
1998;Bellpuig;total;població;;3956
1998;Bellvei;homes;població;;673
1998;Bellvei;dones;població;;600
1998;Bellvei;total;població;;1273
1998;Bellver de Cerdanya;homes;població;;838
1998;Bellver de Cerdanya;dones;població;;760
1998;Bellver de Cerdanya;total;població;;1598
1998;Bellvís;homes;població;;1063
1998;Bellvís;dones;població;;1108
1998;Bellvís;total;població;;2171
1998;Benavent de Segrià;homes;població;;448
1998;Benavent de Segrià;dones;població;;404
1998;Benavent de Segrià;total;població;;852
1998;Benifallet;homes;població;;447
1998;Benifallet;dones;població;;439
1998;Benifallet;total;població;;886
1998;Benissanet;homes;població;;519
1998;Benissanet;dones;població;;497
1998;Benissanet;total;població;;1016
1998;Berga;homes;població;;6910
1998;Berga;dones;població;;7263
1998;Berga;total;població;;14173
1998;Besalú;homes;població;;966
1998;Besalú;dones;població;;1025
1998;Besalú;total;població;;1991
1998;Bescanó;homes;població;;1536
1998;Bescanó;dones;població;;1527
1998;Bescanó;total;població;;3063
1998;Beuda;homes;població;;73
1998;Beuda;dones;població;;57
1998;Beuda;total;població;;130
1998;Bigues i Riells del Fai;homes;població;;2414
1998;Bigues i Riells del Fai;dones;població;;2215
1998;Bigues i Riells del Fai;total;població;;4629
1998;Biosca;homes;població;;135
1998;Biosca;dones;població;;133
1998;Biosca;total;població;;268
1998;Bisbal d'Empordà, la;homes;població;;3954
1998;Bisbal d'Empordà, la;dones;població;;4153
1998;Bisbal d'Empordà, la;total;població;;8107
1998;Bisbal de Montsant, la;homes;població;;121
1998;Bisbal de Montsant, la;dones;població;;124
1998;Bisbal de Montsant, la;total;població;;245
1998;Bisbal del Penedès, la;homes;població;;909
1998;Bisbal del Penedès, la;dones;població;;838
1998;Bisbal del Penedès, la;total;població;;1747
1998;Biure;homes;població;;105
1998;Biure;dones;població;;106
1998;Biure;total;població;;211
1998;Blancafort;homes;població;;198
1998;Blancafort;dones;població;;192
1998;Blancafort;total;població;;390
1998;Blanes;homes;població;;14463
1998;Blanes;dones;població;;14363
1998;Blanes;total;població;;28826
1998;Boadella i les Escaules;homes;població;;113
1998;Boadella i les Escaules;dones;població;;114
1998;Boadella i les Escaules;total;població;;227
1998;Bolvir;homes;població;;123
1998;Bolvir;dones;població;;124
1998;Bolvir;total;població;;247
1998;Bonastre;homes;població;;162
1998;Bonastre;dones;població;;166
1998;Bonastre;total;població;;328
1998;Bòrdes, Es;homes;població;;111
1998;Bòrdes, Es;dones;població;;96
1998;Bòrdes, Es;total;població;;207
1998;Bordils;homes;població;;696
1998;Bordils;dones;població;;690
1998;Bordils;total;població;;1386
1998;Borges Blanques, les;homes;població;;2568
1998;Borges Blanques, les;dones;població;;2613
1998;Borges Blanques, les;total;població;;5181
1998;Borges del Camp, les;homes;població;;749
1998;Borges del Camp, les;dones;població;;727
1998;Borges del Camp, les;total;població;;1476
1998;Borrassà;homes;població;;239
1998;Borrassà;dones;població;;250
1998;Borrassà;total;població;;489
1998;Borredà;homes;població;;221
1998;Borredà;dones;població;;236
1998;Borredà;total;població;;457
1998;Bossòst;homes;població;;415
1998;Bossòst;dones;població;;406
1998;Bossòst;total;població;;821
1998;Bot;homes;població;;434
1998;Bot;dones;població;;424
1998;Bot;total;població;;858
1998;Botarell;homes;població;;264
1998;Botarell;dones;població;;266
1998;Botarell;total;població;;530
1998;Bovera;homes;població;;209
1998;Bovera;dones;població;;199
1998;Bovera;total;població;;408
1998;Bràfim;homes;població;;276
1998;Bràfim;dones;població;;291
1998;Bràfim;total;població;;567
1998;Breda;homes;població;;1664
1998;Breda;dones;població;;1590
1998;Breda;total;població;;3254
1998;Bruc, el;homes;població;;483
1998;Bruc, el;dones;població;;445
1998;Bruc, el;total;població;;928
1998;Brull, el;homes;població;;104
1998;Brull, el;dones;població;;87
1998;Brull, el;total;població;;191
1998;Brunyola i Sant Martí Sapresa;homes;població;;207
1998;Brunyola i Sant Martí Sapresa;dones;població;;198
1998;Brunyola i Sant Martí Sapresa;total;població;;405
1998;Cabacés;homes;població;;177
1998;Cabacés;dones;població;;160
1998;Cabacés;total;població;;337
1998;Cabanabona;homes;població;;48
1998;Cabanabona;dones;població;;52
1998;Cabanabona;total;població;;100
1998;Cabanelles;homes;població;;122
1998;Cabanelles;dones;població;;98
1998;Cabanelles;total;població;;220
1998;Cabanes;homes;població;;394
1998;Cabanes;dones;població;;389
1998;Cabanes;total;població;;783
1998;Cabanyes, les;homes;població;;268
1998;Cabanyes, les;dones;població;;237
1998;Cabanyes, les;total;població;;505
1998;Cabó;homes;població;;67
1998;Cabó;dones;població;;53
1998;Cabó;total;població;;120
1998;Cabra del Camp;homes;població;;275
1998;Cabra del Camp;dones;població;;233
1998;Cabra del Camp;total;població;;508
1998;Cabrera d'Anoia;homes;població;;217
1998;Cabrera d'Anoia;dones;població;;167
1998;Cabrera d'Anoia;total;població;;384
1998;Cabrera de Mar;homes;població;;1809
1998;Cabrera de Mar;dones;població;;1752
1998;Cabrera de Mar;total;població;;3561
1998;Cabrils;homes;població;;1992
1998;Cabrils;dones;població;;2120
1998;Cabrils;total;població;;4112
1998;Cadaqués;homes;població;;908
1998;Cadaqués;dones;població;;970
1998;Cadaqués;total;població;;1878
1998;Calaf;homes;població;;1499
1998;Calaf;dones;població;;1556
1998;Calaf;total;població;;3055
1998;Calafell;homes;població;;5338
1998;Calafell;dones;població;;5238
1998;Calafell;total;població;;10576
1998;Calders;homes;població;;365
1998;Calders;dones;població;;333
1998;Calders;total;població;;698
1998;Caldes d'Estrac;homes;població;;858
1998;Caldes d'Estrac;dones;població;;950
1998;Caldes d'Estrac;total;població;;1808
1998;Caldes de Malavella;homes;població;;1888
1998;Caldes de Malavella;dones;població;;1864
1998;Caldes de Malavella;total;població;;3752
1998;Caldes de Montbui;homes;població;;6261
1998;Caldes de Montbui;dones;població;;6412
1998;Caldes de Montbui;total;població;;12673
1998;Calella;homes;població;;5800
1998;Calella;dones;població;;6387
1998;Calella;total;població;;12187
1998;Calldetenes;homes;població;;950
1998;Calldetenes;dones;població;;922
1998;Calldetenes;total;població;;1872
1998;Callús;homes;població;;658
1998;Callús;dones;població;;676
1998;Callús;total;població;;1334
1998;Calonge de Segarra;homes;població;;99
1998;Calonge de Segarra;dones;població;;89
1998;Calonge de Segarra;total;població;;188
1998;Calonge i Sant Antoni;homes;població;;3126
1998;Calonge i Sant Antoni;dones;població;;3100
1998;Calonge i Sant Antoni;total;població;;6226
1998;Camarasa;homes;població;;448
1998;Camarasa;dones;població;;445
1998;Camarasa;total;població;;893
